标题,导演,主演,类型,地区,语言,上映日期,播放链接,封面图片,剧情简介,评分
企鹅与渔夫,大卫·舒尔曼,"让·雷诺,艾德里安娜·巴拉扎,亚历克西娅·莫亚诺,尼古拉斯·弗兰斯拉,罗西奥·埃尔南德斯, 胡安·何塞·加尼卡,杜达·加尔旺,拉威尔·卡布拉尔,罗伯托·博伦斯坦,艾伦·C·坎普,佩德罗·卡埃塔诺,塔尔马·代·弗雷塔斯,费尔南多·卢弗,阿曼达·马迦良埃斯,拉斐拉·皮门塔,胡安·奎罗斯 ,威尔逊·拉贝洛,何塞·特拉西,佩德罗·乌里齐","剧情,家庭","美国,巴西",英语,2024,https://ukzy.ukubf3.com/share/xDUn0lwVjRrVNS9n,https://img.ukuapi.com/upload/vod/20240828-1/ea7ce02c89d3fe477f5e1491d76f1395.jpg,该剧根据令人难以置信的真实故事改编，讲述巴西渔夫若昂(让·雷诺JeanReno饰)在巴西海岸偏远的岛屿海滩上救下了浑身沾满石油、濒临死亡的企鹅丁·迪姆(DinDim)。,2.8
一箭穿心,郭玉波,"鲁昊,今夏","剧情,动作,战争,武侠",中国大陆,汉语普通话,2024,https://ukzy.ukubf3.com/share/6MOP8IyWtqHTn6oV,https://img.ukuapi.com/upload/vod/20240829-1/e6a41f01b37bd3fb34feda05e3fb2530.jpg,大明嘉靖年间，参将杨振全家被海盗赤虎杀害，儿子杨海躲过一劫。杨海流浪江湖，结识神箭手燕十八的后人燕小萍，习得一身超凡箭术。杨海终于找到赤虎的下落，救出被海盗俘虏的父老乡亲，并与赤虎展开对决……,1.5
黑狱喋血,Ryan C Jaeger,"迈克尔·比恩,凯蒂·洛茨,里奥·霍华德,珍妮弗·布兰克,Kelly B. Jones,罗恩·斯穆安伯格,唐汉平",动作,美国,英语,2024,https://ukzy.ukubf3.com/share/HCoV8FdqZj4PNMwo,https://img.ukuapi.com/upload/vod/20240829-1/85974a1a668b85ebda9b540823d10ffd.jpg,"Inthisaction-packedthrillerfromaproducerofOnceUponaTime...inHollywood,CaityLotz(DC’sLegendsofTomorrow,TheFlash)andLeoHoward(Kickin’It,G.I.Joe:TheRiseofCobra)starassiblingsCharlieandJack,whoaretrappedinMyanmar’stoughestprisonandaccusedofacrimetheydidn’tcommit.Forcedintotelevisedfightswhereinmatesbattleforthechancetoescapedeathrow,theyfaceoffagainstthedeadliestopponentswhereeachmatchcouldbetheirlast.CharlieandJackmustworktogether,theirbondtestedinahigh-stakesgamewhereonlythestrongestcanwintheirwayout.",1.8
纯种狼2,亚力克斯·施塔德曼,"伊莱·斯温德尔,萨玛拉·维文,阿克马尔·萨利赫","动作,动画,奇幻,冒险",澳大利亚,英语,2024,https://ukzy.ukubf3.com/share/5cyHxBYiSlZy1a04,https://img.ukuapi.com/upload/vod/20240828-1/8342ee244ea1dd35eb109a9218994015.jpg,狼人家族的新领袖福来弟勇气与智慧并存，可是狗身的它却无法获得狼人群的足够尊重。在一次月夜祈祷中，它终于成为了狼人，可是却同时召唤来了一个调皮捣蛋的月狼精灵。地月之间的平衡因为此次召唤而被打破，这次福来弟必须把月狼精灵送回家，不然地月之间将不可避免发生碰撞……,4.6
怒火12小时,武浩,"安志杰,甄琪,毕雪,郑胖,冯秦川,杨涵彬,倪珂欣","动作,悬疑",中国大陆,汉语普通话,2024,https://ukzy.ukubf3.com/share/3rmT4Pq5fLnUAuRM,https://img.ukuapi.com/upload/vod/20240828-1/379f7a7554f39181762f5510bc2512e8.jpg,讲述中国硬汉在12小时的极限时间内展开的异国疾速救援故事。,4.5
怪亲,JT·莫讷,"薇拉·菲茨杰拉德,凯尔·加尔纳,芭芭拉·赫希,小艾德·博格里,史蒂芬·迈克尔·克扎达,麦迪逊·贝蒂,比安卡·A·桑托斯,Denise Grayson,Sheri Foster,Duke Mollner,尤金娜·库日敏娜,杰森·帕特里克,吉奥瓦尼·瑞比西,罗伯特·克雷格黑德,Evan Peterson,Andrew John Segal","爱情,惊悚",美国,英语,2024,https://ukzy.ukubf3.com/share/dJMMJJ9upP7sUM6h,https://img.ukuapi.com/upload/vod/20240828-1/ad1b4f859e704779de8f979638327257.jpg,Onedayinthetwistedlovelifeofaserialkiller.,2.1
亚当·桑德勒：爱你,约书亚·萨弗迪,亚当·桑德勒,"喜剧,脱口秀",美国,英语,2024,https://ukzy.ukubf3.com/share/MfMD7mMiiGqmvmoR,https://img.ukuapi.com/upload/vod/20240827-1/3f0b962119ed06fb1988249d92f87913.jpg,"AnewcomedyspecialfromAdamSandlerdirectedbyJoshSafdie(makinghiscomedyspecialdirectorialdebut),AdamSandler:LoveYoupremieresgloballyonNetflixonAugust27,2024.",4.1
解脱,李·丹尼尔斯,"安德拉·戴,格伦·克洛斯,Anthony B. Jenkins,凯莱布·麦克劳克林,黛米·辛格顿,安洁纽·艾莉丝-泰勒,莫妮克,欧玛·艾普斯,密斯·劳伦斯,Javion Allen,托德·安东尼,Bryant Bentley,Jonathan Berry,Loryn Bonner,考林·加普,Guy Collins,Cynthia Dallas,Girly Daniels,Amy Lyn Elliott,Nealla Gordon","惊悚,恐怖",美国,英语,2024,https://ukzy.ukubf3.com/share/IgbC5OYbKvOfCKfG,https://img.ukuapi.com/upload/vod/20240828-1/7cd08d22e74cea4e2b16bb3df17c1a74.jpg,影片根据真实事件改编。埃博尼·杰克逊是一位努力与内心恶魔斗争的单身母亲，她带着家人搬进新家，开始新的生活。但当家中发生的怪事引起儿童保护服务机构的怀疑并威胁到这个家庭时，埃博尼很快发现自己陷入了一场为自己的生命和孩子们的灵魂而战的战斗中。,4.1
贪婪的人,波茨·庞西罗利,"约瑟夫·高登-莱维特,莉莉·詹姆斯,希米什·帕特尔,奇希·劳尔兹,蒂姆·布雷克·尼尔森,乔伊·劳伦·亚当斯,西蒙·雷克斯,乌佐·阿杜巴,妮娜·阿里安达,吉姆·加菲根,何塞·马利亚·亚兹皮克,阿尔特·纽柯克,内娃·豪威尔,Khetphet Phagnasay,迈克尔·哈丁,David Pascua,特拉维斯·普里兹比尔斯基,Kevin M. Brennan,克米特·罗里森,Tamara Hopkins","喜剧,犯罪",美国,英语,2024,https://ukzy.ukubf3.com/share/pzWMfTDZnvfsSQ2P,https://img.ukuapi.com/upload/vod/20240829-1/aa5f78aea03b2413f8d67fe7729e6d58.jpg,菜鸟警察威尔（希米什·帕特尔饰）和他的流氓搭档特里（约瑟夫·高登-莱维特饰）在一个犯罪现场（由他们自己制造的）意外发现一百万美元，从而颠覆了他们生活的这个小镇。在这二人不明智地决定盗取钱财之后，社区中的居民都被吸引参与争夺这笔巨款，从怀孕的妈妈（莉莉·詹姆斯饰）到理疗师（西蒙·雷克斯饰）到虾公司老板（蒂姆·布雷克·尼尔森饰），每个人都了解到，他们为了这笔钱到底牺牲了多少。,4.3
传说 2024,唐季礼,"成龙,张艺兴,古力娜扎,李治廷,李晨,彭小苒,窦骁,郑业成,马元,吕良伟,金巧巧,马艳丽,艾尔番·艾则孜,贾冰,金喜善,唐季礼,降央卓玛,阿兰","剧情,动作,奇幻,冒险","中国大陆,中国香港",汉语普通话,2024,https://ukzy.ukubf3.com/share/ara5b1s9ZUj3ux4U,https://img.ukuapi.com/upload/vod/20240831-1/5808d440a19843112a478989572bd63e.jpg,前世情缘，梦中寻觅。家国太平，英雄铸成！影片是《神话》的姊妹篇，讲述房教授（成龙饰）在考古时挖掘出神秘的萨满古玉，它引领着房教授和助手王靖（张艺兴饰）梦回西汉，化身骁勇善战的汉军将领，征战于无垠的河西草原，率骑兵抗击匈奴守护家国，并与匈奴公主梦云（娜扎饰）展开一段跨越千年的前世情缘。为寻真相，房教授和助手邀请好友雷振（李晨饰）深入万年冰川中找寻祭天圣地，欲揭开这段不为人知、横跨千古的传奇故事，却遭萨满专家赫伯尔（李治廷饰）的阻挠……,5.1
伞少女,沈杰,"聂曦映,谷江山,刘校妤,沈念如,张杰,乔诗语,季冠霖,刘琮,锦鲤,陈少熙,徐佳琦,苏尚卿,蔡海婷,林兰,李诗萌,刘芊含,钱琛,沈依杭","动画,奇幻,古装",中国大陆,汉语普通话,2024,https://ukzy.ukubf4.com/share/hfHMOLsiIemPIMtZ,https://img.ukuapi.com/upload/vod/20240824-1/6797d4b84cc75797964824dee04dc2a7.jpg,前朝公主镜折将自己心爱的青罗伞送至念物阁珍藏，临行前她希望青罗伞可以陪伴着前朝将军的黑玉剑。青罗伞的物灵青黛为实现主人的愿望，在念物阁寻找到黑玉剑的物灵忘归。而忘归却一心想为前主人报仇，找到机会逃出了念物阁。为了阻止忘归再次在人间挑起战争，青黛与天才工匠少年墨阳一起踏上了寻找忘归的路。一路上惊险重重，在一人一物灵的通力合作下，最终他们成功让忘归放弃仇恨，并且阻止了念物阁一场前所未有的危机。然而，他们也付出了巨大的代价......,6.6
名模夜惊魂,德里克·派克,"丝柯·泰勒-考普顿,瑞恩·莫里曼,兰迪·韦恩,克里斯·泽尔卡,Kyra Santoro,莱克西·阿特金斯,Hailee Keanna Lautenbach,菲利普·安德瑞·波铁洛,CoryAnne Roberts,Priscilla Huggins Ortiz,Triana Browne","剧情,悬疑,惊悚,恐怖",美国,英语,2024,https://ukzy.ukubf3.com/share/iX1EWYUpRF7i6RMB,https://img.ukuapi.com/upload/vod/20240825-1/f514437e7e7b789c6526b03ff2f97016.jpg,一群模特们因故临时在偏僻安静的小屋里过夜却没料到在黑暗中有什么东西盯上了她们。,1.4
麻辣兄弟之疯狂一夜,"车志刚,杨羽","杨羽,邵庄,邢冬冬,王冬,安宁,大牛,王辰昊","剧情,喜剧",中国大陆,汉语普通话,2024,https://ukzy.ukubf3.com/share/MrmxKTpeDAlV9HBC,https://img.ukuapi.com/upload/vod/20240824-1/a71b3f95c92232fa15eb82ecd624bf02.jpg,林大冲、吕胖胖、柳小刀和李凡达，是大学时期舍友。毕业几年后几人都在忙着自己的生活和事业，已经很久没有见面。有一天胖胖突然找到大伙，希望能和大家再疯狂一次。一夜离奇的经历，使他们变得更加珍惜当下的生活。影片是《麻辣隔壁》的电影版。,4.1
逃脱,李宗弼,"李帝勋,具教焕",动作,韩国,韩语,2024,https://ukzy.ukubf3.com/share/GMQ6HFWvLqYsiKPV,https://img.ukuapi.com/upload/vod/20240827-1/32e5eb51f2de526c49bd4eccee180d3b.jpg,讲述在铁栏杆的对面，梦想着还有明天而疾走于越过生死之线的朝鲜士兵圭南和需要阻止他的保卫部长校贤尚展开不惜性命的逃走与追击战的故事。,7.2
敌对维度,Graham Hughes,"Stephen Beavis,Cedric Gall,Graham Hughes,Paddy Kondracki,Annabel Logan,Lucy the Dog,Josie Rogers,Andy Stewart,Joma West","科幻,恐怖",英国,英语,2024,https://ukzy.ukubf3.com/share/Ib4sKO9f2hqQmY7M,https://img.ukuapi.com/upload/vod/20240827-1/fc5abd72b2e958a388391a0bdab523a9.jpg,讲述了两位纪录片制作人决定调查一位涂鸦艺术家的失踪事件。随着调查的深入，这两位制作人遭遇到了一扇诡异的凭空出现的木门，这扇门引领他们穿梭于不同的空间，同时开启了一段黑暗的噩梦之旅。本来只是调查失踪事件的两人很快便意识到，自己陷进了超乎想象的可怕旋涡之中...,3.0
短句之国,Hella Joof,"Sofie Torp,Thomas Hwan,Anders Agger,洛特·安德森,Maria Rossing,克里斯蒂安·塔夫德鲁普,Rikke Bilde,Christine Gjerulff,波笛·约根森,布贾内·亨里克森,杨思·约恩·斯波塔格,Jesper Hagelskær Paasch,约翰·路易斯·施密特,安德斯·布林克·马德森,Thomas Guldberg Madsen,Malaika Berenth Mosendane,Nina Terese Rask,Arian Kashef,La",喜剧,丹麦,丹麦语,2023,https://ukzy.ukubf3.com/share/D2TCH5HQUcM3rHIJ,https://img.ukuapi.com/upload/vod/20240826-1/9181ce1dc1770016fd01af79a2e906a9.jpg,改編自丹麥金獎同名暢銷小說，瑪麗的愛人拉斯穆斯因工作關係決定搬離哥本哈根，搬到丹麥西日德蘭半島，瑪麗的生活因此發生了翻天覆地的變化，瑪麗不情願地與拉斯穆斯一起搬到多風的小鎮──韋林。雖然拉斯穆斯很快地就融入了當地的生活，但對瑪麗卻與當地格格不入。後來，隨著她逐漸學會多聽少說，也開始為當地報紙提供的建議專欄，她逐漸意識到自己可能需要韋林，就像韋林需要她一樣。,4.2
家政初学者,戈兰·斯托列夫斯基,"安娜玛丽亚·玛琳卡,艾丽娜·塞尔班,Samson Selim,Vladimir Tintor,Mia Mustafi,Dzada Selim,萨拉·克利莫斯卡,Rozafa Celaj,Ajse Useini,Filip Trajkovic,Mamura Mustafa,Aleksandra Pesevska,Fisnik Zeqiri,Ziba Radoncic,埃雷娜·里斯蒂克,Ilire Vinca,Serbija Shabanova,Bislim Muçaj,Sanela Emin,Ganimet","剧情,喜剧","波兰,克罗地亚,塞尔维亚,科索沃,北马其","马其顿语,罗马尼语,",2023,https://ukzy.ukubf3.com/share/Kc8EftrVbbPTb2lO,https://img.ukuapi.com/upload/vod/20240826-1/aaa9f0aaba0474c19d56cd7eef883af3.jpg,社工蒂塔的家里住着太多边缘人：女友的两个女儿，一个人小鬼大满腹疑问，一个叛逆少女对世界愤恨；室友东尼在交友软件不停寻找下任，这次钓上的小鲜肉还算亲切诚恳；还有三两成群的离家女同志们，整天吵吵闹闹也勉强凑成一家人。直到女友诊断出癌症，蒂塔被迫负起母亲的责任，不仅为了收养得跟东尼假结婚，还得对外人掩盖家中混居的复杂身份，身在作风保守的马其顿，他们该怎么维持这个拼凑家庭的平衡？,6.8
鲨鱼女孩,"Justin Shilton,Rob Zazzali","Alexandra Corin Johnston,Sumayyah Ameerah,尼克·泰格","惊悚,恐怖",美国,英语,2024,https://ukzy.ukubf3.com/share/iUosEhESnShz0GeN,https://img.ukuapi.com/upload/vod/20240824-1/be5b1f04932aae848a9019b2caa6d53d.jpg,"Whenabeautifulyounginfluencersurvivesamysterioussharkattack,shebecomesamonstrousapexpredator,huntingandfeedinginsunnyVenicebeach,California.",2.1
喋血双雄 2024,吴宇森,"娜塔莉·伊曼纽尔,奥玛·希,萨姆·沃辛顿,戴安娜·西尔弗斯,萨伊德·塔格马奥,雨果·迭戈·加西亚,奥里莉亚·阿格尔,格雷戈里·蒙泰尔,David Clark,杰兹·迪欧,Quentin D,Hainaut,吴飞霞,Grégory Loffredo,埃利·哈达德,Jamel Blissat,纪尧姆·科布施,Etienne Guillou-Kervern","剧情,动作",美国,英语,2024,https://ukzy.ukubf3.com/share/dl4RMGx3a44QWZlu,https://img.ukuapi.com/upload/vod/20240824-1/558cb480af78678f442fc645fda29682.jpg,Zee（娜塔莉·伊曼纽尔饰），一个神秘而臭名昭著的刺客，在巴黎黑社会中被称为“死亡女王”，令人闻风丧胆。在她的神秘导师兼经纪人Finn（萨姆·沃辛顿饰）派遣的任务中，Zee拒绝在巴黎一家夜总会杀死失明的年轻女子Jenn（戴安娜·西尔弗斯饰）。这使得她和Finn反目，同时也引起精明的警探Sy（奥玛·西饰）的注意，并使她陷入一场与自己的过去发生冲突的邪恶犯罪阴谋。,2.3
伞少女,沈杰,"聂曦映,谷江山,刘校妤,沈念如,张杰,乔诗语,季冠霖,刘琮,锦鲤,陈少熙,徐佳琦,苏尚卿,蔡海婷,林兰,李诗萌,刘芊含,钱琛,沈依杭","动画,奇幻,古装",中国大陆,汉语普通话,2024,https://ukzy.ukubf3.com/share/dKTygmW6Jeb6YYnG,https://img.ukuapi.com/upload/vod/20240824-1/eec74f368860050e55c6c0cae7041b58.jpg,前朝公主镜折将自己心爱的青罗伞送至念物阁珍藏，临行前她希望青罗伞可以陪伴着前朝将军的黑玉剑。青罗伞的物灵青黛为实现主人的愿望，在念物阁寻找到黑玉剑的物灵忘归。而忘归却一心想为前主人报仇，找到机会逃出了念物阁。为了阻止忘归再次在人间挑起战争，青黛与天才工匠少年墨阳一起踏上了寻找忘归的路。一路上惊险重重，在一人一物灵的通力合作下，最终他们成功让忘归放弃仇恨，并且阻止了念物阁一场前所未有的危机。然而，他们也付出了巨大的代价......,6.6
高中新丁,"戴夫·切尔诺,约翰·切宁","梅森·泰晤士,阿里·加洛,凯特琳·奥尔森,伊莎贝拉·费雷拉,托马斯·巴布萨卡,拉斐尔·亚历杭德罗,Ramon Reed,Bardia Seiri,Kayvan Shai,诺兰·贝特曼,Eric Grooms,Loren Gray,鲍比·坎纳瓦尔,盖特林·格里菲斯,Phillip M. Lawrence,Javion Allen,斯蒂尔·史泰宾斯,斯科特·麦克阿瑟,Dinora Walcott,Elijah Ocelotzin Espinoza",喜剧,美国,英语,2024,https://ukzy.ukubf3.com/share/utbGvhvB1gmScTLN,https://img.ukuapi.com/upload/vod/20240824-1/9f1af17e490271a5ab037641c6b644c7.jpg,四名新生渴望在他们的第一次高中聚会上大放异彩。但正如人们常说的，计划永远赶不上变化，麻烦总是难免。,3.4
格吉（杀人鬼）,"เมษ ยิ้มสมบูรณ์,พลดลพัฒน์ ธัชทัณฑิมารัชต์","卡文·英玛诺泰,Supawadee Kitisopakul,ชัยยุทธ กิติชัยวัฒน์",恐怖,泰国,泰语,2024,https://ukzy.ukubf3.com/share/qnGnKqvMWigx3SY9,https://img.ukuapi.com/upload/vod/20240823-1/46c9fd09c67adf141e5b51041dc348c8.jpg,内详,1.3
打黑,秦鹏飞,"释小龙,包贝尔,曲栅栅,李大强,刘峰超,王正权,赵润南,王宏,高维蔓,周开开,孙彩纶,房岩,高强,秦焰,周波,任正斌","动作,犯罪",中国大陆,汉语普通话,2024,https://ukzy.ukubf4.com/share/UrPTke7NLY8rdDu9,https://img.ukuapi.com/upload/vod/20240823-1/dfae181dfb934332eb5318a387903a51.jpg,村民古大鹤经营多年的废品收购站遭遇强拆，母亲的坟被强制挖出裸露在外。他实名举报黑恶头目魏天朗后被囚禁。妹妹在此期间也意外身亡。正值中央全面开展“扫黑除恶专项行动”，市公安局刑侦支队队长雷阳奉命调查此案，与这一盘踞多年的黑恶势力展开殊死搏斗。,3.8
异形：夺命舰,费德·阿尔瓦雷兹,"卡莉·史派妮,戴维·荣松,阿奇·雷诺,伊莎贝拉·莫塞德,斯派克·费恩,吴爱玲,丹尼尔·贝茨,伊安·霍姆,特雷沃·纽林,罗伯特·勃洛克茨基,安妮玛丽·格里格斯,罗茜·伊德,索玛·西蒙,本斯·欧科克,维克托·欧利祖","科幻,惊悚,恐怖","美国,英国",英语,2024,https://ukzy.ukubf3.com/share/GSXOxoYZFndGx7Ck,https://img.ukuapi.com/upload/vod/20240819-1/ec1167eb03e629b8542123e5caa6bbe6.jpg,影片时间线设定在1979年第一部《异形》与1986年的续集《异形2》之间，围绕一群年轻而勇敢的太空殖民者展开。讲述他们为逃离外星采矿殖民地的沉闷生活，在冒险探索一座废弃的太空站时，意外遭遇了宇宙中最可怕的生命体——异形。狭窄幽暗、危机四伏的空间站中，大逃杀的序幕已经被无情拉开，人类再次成为异形生物捕猎的目标。在无尽的黑暗与死亡威胁的笼罩之下，太空探险队员们能否在每一次心跳的瞬间，察觉到未知生物潜伏的丝丝寒意？在这场你死我活的追逐战中，他们将直面怎样的信任挑战和道德挣扎？当一个又一个同伴被残忍吞噬，求救无门的他们究竟能否在这场太空杀戮中寻得一线生机？,7.7
猎杀：生死突围,刘渂,刘林城 / 张瀚方 / 时光 / 冷海铭 / 姜山 / 寇钟吁 / 贾虎 /,战争,大陆,国语,2024,https://ukzy.ukubf3.com/share/996goAn3dMYe0e7j,https://img.ukuapi.com/upload/vod/20240824-1/5bd5a62109566d7737c1fa685dde8528.jpg,李威惨遭日本山本挺进队灭门，幸得他侥幸躲过一劫，并和几个朋友踏上复仇之路。他们充分利用灵活的优势，以游击战法向敌人展开攻击，将他们一步步猎杀。而后，他们继续奋斗在反抗敌人侵略的战斗中，甚至牺牲性命。,0.0
毕业那天我们泪流满面,陈思敏,周琪,剧情,大陆,,2024,https://ukzy.ukubf3.com/share/HprgmHwtl7GYb7RO,https://img.ukuapi.com/upload/vod/20240824-1/391dac077d8b57285869beb43985219d.jpg,,0.0
美少女战士Cosmos 剧场版 后篇,高桥知也,"三石琴乃,福圆美里,野岛健儿,金元寿子,佐藤利奈,小清水亚美,伊藤静,皆川纯子,大原沙耶香,前田爱,藤井雪代,广桥凉,村田太志,中川翔子,井上麻里奈,早见沙织,佐仓绫音,北川景子,水树奈奈,林原惠美","剧情,科幻,动画",日本,日语,2023,https://ukzy.ukubf3.com/share/oJFvPAIK8HPBODJ7,https://img.ukuapi.com/upload/vod/20240823-1/9085ea1312fcb4e3d8d8d16a45c6935b.jpg,《美少女战士》的新剧场版《美少女战士Cosmos》将于2023年初夏分为前后两部上映。本作为《美少女战士》系列的最终章《银河之影篇》，新的敌人嘉拉西亚出现。三石琴乃、金元寿子、佐藤利奈、小清水亚美、伊藤静、福圆美里、皆川纯子、大原沙耶加、前田爱、藤井幸代、野岛健儿等将继续参与配音。,7.6
鲨齿险滩,海莉·伊斯顿·斯垂特,"劳伦·莱尔,希夫图·卡西姆,妮科尔·瑞蔻·势津子,娜塔莉·米特森,加布里埃尔·普雷沃斯特-高桥,埃洛伊斯·沙克斯皮尔-哈特,克利尔可·吉尤利亚,Laura Costa",惊悚,美国,英语,2024,https://ukzy.ukubf4.com/share/1cgnZ9ZJ89nbqsoy,https://img.ukuapi.com/upload/vod/20240821-1/a913ad3e1082fa22bfeae8bb353b9e4a.jpg,五位多年未见的闺密，因为参加其中一人在加勒比海举行的海岛婚礼而再度聚首，闲暇之余，她们决定搭船前往一个无人岛探险，没想到该岛的周围潜藏着饥肠辘辘的鲨鱼，五人必须设法从鲨口逃生……。,4.6
狗阵,管虎,"彭于晏,佟丽娅,贾樟柯,周游,胡晓光,王奕权,牛犇,小辛,张译,袁弘,魏晨,赵毅,张建亚,张杨,王砚辉,沙宝亮,尹元章,张立,莫涂弘哲,吴优,答有为,楚布花羯,王乃训,高强,李九霄,梁静,黄米依",剧情,中国大陆,"汉语普通话,西北方言",2024,https://ukzy.ukubf4.com/share/2uIUsowh24yZbkWY,https://img.ukuapi.com/upload/vod/20240821-1/4da85ff8c2144f991a33725a4161baf8.jpg,十余年前的西北小镇，刚出狱的二郎（彭于晏饰）重归故土，面对偏见，面对防备，他不知该如何开启新生活。迫于生计加入打狗队后，二郎拯救了一只流浪黑狗，他也在和黑狗的相处中获得了再次上路的勇气。生命在暗处的绽放更凶猛有力，一人一狗在互相救赎中，拥抱着彼此的新生。,7.2
修复体,Robert Hloz,"托马斯·科特,卡雷尔·多布雷,Václav Neuzil","剧情,科幻,惊悚","捷克,斯洛伐克,波兰,塞尔维亚",捷克语,2023,https://ukzy.ukubf3.com/share/kXephdKMhxkIHLGt,https://img.ukuapi.com/upload/vod/20240818-1/cafa94f3afd978e66520d2f44183cbdf.jpg,"SetinEuropeduring2038,afemaledetectiveinvestigatesthecaseofamurderedcouplewherearestorationteamisabletobringoneofthembacktolife.",1.2
尼斯警花,诺米·萨格雷欧,"阿丽斯·塔格里奥妮,施特菲·塞尔马,诺埃米·洛夫斯基,巴普蒂斯特·勒卡普兰,卡特莉娜德登,耶斯·利奥丹,安托万·迪莱里,弗兰兹-鲁道夫·郎,Timothée Vaganay,詹·奥利弗·施罗德,Nyko,Sandrine Vargas","喜剧,动作,犯罪",法国,法语,2024,https://ukzy.ukubf3.com/share/RiK1tjklMsXAi3k9,https://img.ukuapi.com/upload/vod/20240823-1/b8a5c6eff064107695109bce678df885.jpg,无所畏惧的里欧（阿丽斯·塔格里奥妮饰）自诩为“法国里维埃拉最好的警察”。惊闻与她情同兄妹的同事卢在汉堡被谋杀后，她决心找出真相。但她的老板（诺埃米·洛夫斯基饰）却另有想法，坚持要将此案交给一位德国超级警察。里欧绝不会让一个“金玉其外，败絮其中”的人进行调查，尤其是当她听说这位警察是外表迷人且训练过度的梅兰妮（施特菲·塞尔马饰）时。这两个脾气暴躁但彼此冲突的角色被迫建立了一种不稳定的伙伴关系，她们不知道尼斯市正面临迫在眉睫的威胁，而且她们之间的关系比想象的还要紧密。,2.1
荒野之河,本·科泰,"莉顿·梅斯特,亚当·布罗迪,塔兰·基拉姆,伊芙·康诺利,马特·戴维尔,奥利维亚·斯万,尼克·威特曼",惊悚,美国,英语,2023,https://ukzy.ukubf3.com/share/ZBJPXOaXjc0ifi3L,https://img.ukuapi.com/upload/vod/20240818-1/a4db3dd48a7d0e10d92e014ab794a3c6.jpg,Followsapairofsiblingswholovebutdistrusteachotherastheyembarkonawhite-waterraftingtripwithasmallgroup.Oneoftheirfriendsfromchildhoodturnsouttobemoredangerousthanheappears.,4.4
美少女战士Cosmos 剧场版 前篇,高桥知也,"三石琴乃,福圆美里,野岛健儿,金元寿子,佐藤利奈,小清水亚美,伊藤静,皆川纯子,大原沙耶香,前田爱,藤井雪代,广桥凉,村田太志,中川翔子,井上麻里奈,早见沙织,佐仓绫音,小泉濑奈,村濑步,日笠阳子,伊濑茉莉也,工藤晴香,三上枝织,伊藤加奈惠,水泽史绘,小松由佳,水树奈奈,林原惠美","剧情,科幻,动画",日本,日语,2023,https://ukzy.ukubf3.com/share/aYqFzrpREYBODpa0,https://img.ukuapi.com/upload/vod/20240823-1/cfedfdf5df64cac617f37951ff4b8560.jpg,影片讲述“银河之影”的故事，取材自《美少女战士》系列漫画最终章。名为“银河之影”的组织崛起，意图摧毁一切、统治宇宙，并开始一个个铲除水兵月身边的朋友，她必须挺身迎战新敌人。要达成任务，除了要有过人的能耐，还必须对抗铺天盖地的孤独，她能否坚持下去，保护所爱之人？而在战斗的尾声，又有什么在等待着她？《美少女战士》最终章展开，看水兵月一肩扛起沉重任务，对抗银河之影。,7.6
鬼气球,,,恐怖,,,,https://ukzy.ukubf3.com/share/IT9ofCTxV2RvVJA2,https://img.ukuapi.com/upload/vod/20240824-1/ec0e6a865439de0acc2fab3799adf53e.jpg,多年以前，一处孤儿院，失明的院长丽翠被诬陷杀害她所照顾的七名小孩，结果被居民们处以火刑含冤而亡。她的冤魂萦绕在这座孤儿院里，不时诅咒着跟孤儿院相关的人。多年以后，几个外人搬进已经废弃的这所孤儿院，并发现整栋建筑都被丽翠的亡魂所诅咒。悲剧接二连三发生，让他们试图查明当年的真相究竟是什么…。,0.0
车轴,松本准平,"矢野圣人,锡木佑里,水石亚飞梦,奥田瑛二,筒井真理子,中川雅也",剧情,日本,日语,2023,https://ukzy.ukubf3.com/share/OPI0LSXq5MdLUzpG,https://img.ukuapi.com/upload/vod/20240823-1/dbaee4f3b06a4b5bc3a7040f0bd0506f.jpg,"「聖也と、あんたとあたしの三人で、やってみない？」地方の裕福な実家を""偽物""と嫌悪する大学生の真奈美は、資産家でゲイの潤に、歌舞伎町ナンバー2ホストの聖也を、二人で""共有""することを提案され──。暴力的なまでに切ない、愛の証明。",1.0
咒物寻凶,达米安·麦卡锡,"格威利姆·李,卡罗琳·布莱肯,塔格·墨菲,卡罗琳·门通,史蒂夫·沃尔,乔纳森·法兰西","惊悚,恐怖",爱尔兰,英语,2024,https://ukzy.ukubf8.com/share/bV0MqdkWj6R7IZmv,https://img.ukuapi.com/upload/vod/20240821-1/90191fd8a5e7af72c92669caabaa4d1e.jpg,丹妮原本和丈夫泰德正在翻修偏僻的乡间别墅，却在此地惨遭杀害，所有人都怀疑是当地精神病院的病人所为，因为泰德正是该院的一名医生。然而，案发后不久，嫌疑人就被发现死亡。一年后，丹妮的双胞胎盲妹达茜（Darcy），一个自称通灵者和诅咒物品收藏家的人，意外拜访了泰德和他的新女友雅娜。达茜深信她姐姐的谋杀案远比人们知道的要严重得多，因此她带来了她收藏的最危险的诅咒物品，以帮助她复仇。,2.2
