标题,导演,主演,类型,地区,语言,上映日期,播放链接,封面图片,剧情简介,评分
异人之下,"乌尔善,夏鹏","胡先煦,李宛妲,冯绍峰,乔振宇,宋宁峰,娜然 ,那尔那茜,兰西雅,邬家楷,尚铁龙,陈彼得,熊稳稳,橙一杰,刘纯燕,桑平,刘星辰,隋咏良,韩鹏翼,冯粒,刘金龙,黄小蕾,那威,王劲松","动作,奇幻",中国大陆,汉语普通话,2024,https://ukzy.ukubf3.com/share/3IHgZqYMkY6G2bxg,https://img.ukuapi.com/upload/vod/20240831-1/9b4a2839ee232331f3ef6bafd1d84157.jpg,一直隐藏自己异人身份的张楚岚（胡先煦饰），自从遇到身世神秘的冯宝宝（李宛妲饰）后，便被卷入不同异人门派争斗的漩涡中。随着张楚岚是神秘功法“炁体源流”传人的秘密被公之于众，异人界围绕他展开了激烈的争夺，哪都通、全性派、天下会、天一门等各方势力一一登场，混战一触即发，而此时张楚岚却意外揭开了当年的秘密……影片改编自国漫《一人之下》。,5.9
信使,丹尼尔·卡尔帕索罗,"阿隆·陂佩,玛利亚·佩德拉萨,路易斯·托萨尔,Laura Sepul,Nourdin Batan,José Manuel Poga,路易斯·扎赫拉,Manuel Gancedo,Antonio Buíl,Lukas Maximilian,阿尔维托·乔·李,斯特凡·韦纳特,Arantxa Aranguren,Jorge Silvestre,Calero,Ede,Sesinou Henriette,基尔特·范·朗拜博格,Raúl Beatmac,Lara Martorell","剧情,惊悚,犯罪","西班牙,比利时,法国",西班牙语,2024,https://ukzy.ukubf3.com/share/nWEiQMZ9jUcThrM5,https://img.ukuapi.com/upload/vod/20240831-1/610b627bd955e95479bf84a0f7f6d4c2.jpg,FollowsahustlerandhisrisetothetopofthecorruptionthatsurroundedtherealestatebubbleafterthearrivaloftheeuroinSpain.,3.8
棉尾兔,Patrick Dickinson,"塞伦·希德,托马斯·库姆斯,伊芙·海因德,安格斯·巴尼特,恒松祐里,中川雅也,锦户亮,真矢美纪,木村多江,松崎悠希,高梨临,植原好史,Dave Simon,Isy Suttie,Sarah Mayhew,Laura Smyth,Anil Goutam,光石研,Jasmine Daoud,Kano Ichiki",剧情,"英国,日本","英语,日语",2024,https://ukzy.ukubf3.com/share/HfquICYC7qYArCnN,https://img.ukuapi.com/upload/vod/20240904-1/7ae079270061fc9724b1d245f86f3bb4.jpg,影片讲述Kenzaburo(中川雅也饰)在妻子Akiko(木村多江饰)去世后，带着儿子(锦户亮饰)离开日本，前往《彼得兔》作者碧翠丝·波特的故乡英格兰湖区旅行，因为Akiko儿时很喜欢《彼得兔》的故事，她一直希望能和Kenzaburo一起去英格兰湖区旅行。Kenzaburo必须要实现Akiko的遗愿，将她的骨灰撒到当地的湖中。Kenzaburo与儿子发生争执后，最终独自前往了英格兰湖区。在经过噩梦般的入境过程，Kenzaburo最终遇到了约翰(希德饰)和他的女儿玛丽(巴克利饰)，他们之间产生了浓厚的友谊，而Kenzaburo也意识到自己需要和儿子一起追寻这段象征性的旅程，并最终揭开一个长久以来的秘密。,3.8
隔窗恋爱：看着你,马塞尔·弗雷斯,"胡利奥·佩纳,克拉拉·加勒,Ivan Lapadula","剧情,喜剧,爱情",西班牙,西班牙语,2024,https://ukzy.ukubf3.com/share/vvzF68r4mnYR1ljt,https://img.ukuapi.com/upload/vod/20240831-1/2e610e6f003cdcef46b95884cbf0ca55.jpg,"RaquelandAresareinalong-distancerelationship.TheyfinallyreuniteduringsummeronthelandscapesofCostaBravawiththeirfriends,RaquelandAresbegintoquestionwhethertheirrelationshipcanendurethetestoftime.",5.7
空空如也,Daniel André,"露西·海尔,莫妮卡·波特,达斯汀·米利甘,弗朗西斯卡·伊斯特伍德,凯尔·吉克瑞斯特,瑞斯·考罗,吉姆·加菲根,莱斯莉·斯特拉顿,埃梅丽娜·亚当斯,杰·费罗尔,小伊萨克·C.辛格尔顿,克拉拉·麦克格雷格,迪伦·弗拉施纳,吉姆·克洛克,特里斯坦·汤普森,米凯拉·萨斯纳,Lisa Yaro,米歇尔·法拉·黄,Annie Abbott,Sky Liam",喜剧,美国,英语,2024,https://ukzy.ukubf3.com/share/LzWYw6Ra3yoHvnbc,https://img.ukuapi.com/upload/vod/20240831-1/a565863cf7abd5082ae4dae52bd9256b.jpg,"FollowsMortwhodiscovershehaslessthanayeartolive,andafterhisfiancéleaveshim,hemeetsKateinadatingservicethatmatchespeoplebytheirdeathdates,allwhilebeingstalkedbyadisturbedpimp.",1.1
屋顶足球,飞鱼,"唐良凤,谭新宇,史俊弦,李斌,史晨熙,陈思妍,罗韩香","剧情,运动",中国大陆,汉语普通话,2023,https://ukzy.ukubf3.com/share/0TgS2AFv2Po6dmCy,https://img.ukuapi.com/upload/vod/20240903-1/958a137dd016bb222f6ad73eb0889661.jpg,讲述了云南大山深处的一个村寨里，一对千里寻母的小姐妹和一个酗酒的水果贩子，她们为了各自的梦想，克服重重困难成立了一支屋顶足球队。在追梦的途中，她们手握光芒，勇搏命运的出口，最终逆风成长的故事。,4.1
人鬼情不了,Aditya Sarpotdar,"沙尔瓦里·瓦格,Abhay Verma,莫娜·辛格","喜剧,恐怖",印度,印地语,2024,https://ukzy.ukubf3.com/share/SXuEwEraEy5jxTPm,https://img.ukuapi.com/upload/vod/20240831-1/17fe050b4b6fec6c744877b5d7064d7b.jpg,Munjya爱上了Munni，它将一直追逐她，绝不放弃,1.5
89年的锡比乌,图多尔·久尔玖,"Alex Calangiu,Catalin Herlo,罗努特·卡拉斯,尤利安·波斯泰尔尼库,亚历山德鲁·帕帕多波尔,Leonid Doni,安迪·瓦斯卢亚努,托玛·库津,Mirela Oprisor,斯蒂芬·扬库,科斯特尔·卡斯卡韦尔,Voicu Dumitras,伊恩·格罗叙,Nicu Mihoc,Alin Florea,Razvan Vicoveanu,Áron Dimény,尼科丁·恩古里亚努,Laurentiu Bãnescu,博格丹·法尔卡什","剧情,惊悚,战争","罗马尼亚,匈牙利",罗马尼亚语,2023,https://ukzy.ukubf3.com/share/GMjTfEzkGjIvPqoS,https://img.ukuapi.com/upload/vod/20240901-1/927e4bf84f6e3cd1f176b63b188b5cbb.jpg,"Sibiu’89reenactsalesser-knownstoryaboutthosedaysofviolentcivilunrestthatledtoabloodyconfrontationbetweenthearmyforcesandCeauşescu’sinstrumentsofrepression,theMilitiaandtheSecretPolice.Followingrumoursanddisinformationaboutso-called“terrorists”attackingsoldiersandcivilians,panicandchaosensue.Nooneistobetrusted,everyonecouldbeanenemy,andordinarypeoplewillmakedecisionsthatwillhauntthemforever.",1.7
全个世界都有电话,黄浩然,"周国贤,韦罗莎,陈湛文,蔡思韵,周汉宁,邓丽英",剧情,"中国香港,中国台湾",粤语,2023,https://ukzy.ukubf3.com/share/8he5uL2k4km5xjqQ,https://img.ukuapi.com/upload/vod/20240902-1/5073dbb0fc2e277c41feedcea660ff6f.jpg,三位中学好友在1997年的暑假，联袂购买了人生第一部手机。每个人将自己对未来的憧憬，透过SMS互传给对方收藏，并约定25年后吃饭叙旧，揭晓当初传给对方的讯息。三人在25年后终于聚首一堂，但却各自因为智能手机，而经历了不平凡的一天，最后更为自己的人生找到了新意义。,5.5
碰触,巴塔萨·科马库,"埃吉尔·奥拉夫森,木村光希,帕尔米·科马库尔,本木雅弘,奈良桥阳子,鲁斯·西恩,中村雅俊,麦格·久保田,Tatsuya Tagawa,Charles Nishikawa,Starkaður Pétursson,西吉·英瓦松,阿克夏伊·卡纳,基兰·巴克里奇,Brandy Row,Eiji Mihara,Maria Ellingsen,本尼迪克·埃灵格松,Masaya Mimura,柴田理惠","剧情,爱情",冰岛,"英语,日语,冰岛语",2024,https://ukzy.ukubf3.com/share/LT8ziUuLaLQq34yM,https://img.ukuapi.com/upload/vod/20240904-1/c2e0921f3ea87400223cb0c96affd4d3.jpg,影片改编自畅销小说。一段失落的异地爱情一幕幕即将消逝的甜蜜回忆错过了的缘分，怎舍得成为半生遗憾?,6.4
